what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722297966070
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1722297973644
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1722297985020
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722298007563
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722298012403
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1722298021867
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1722298038679
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1722298045193
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1722298057975
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722298061882
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722298156516
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722298220799
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722298288835
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1722298312958
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1722298320139
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1722298343394
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1722298356827
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1722298377324
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1722298410848
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722298496339
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722298500667
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1722298513075
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1722298530937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722299626869
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722299716261
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1722299726773
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1722299735256
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722299737442
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722299959100
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1722299963925
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722299968500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1722299993676
